Source;Target;Label;Weight
171;158;"Edge from 171 to 158";0.10877
130;159;"Edge from 130 to 159";0.012935
131;159;"Edge from 131 to 159";0.07463
148;159;"Edge from 148 to 159";0.08729
151;159;"Edge from 151 to 159";0.025103
155;159;"Edge from 155 to 159";0.023744
170;159;"Edge from 170 to 159";0.026238
142;160;"Edge from 142 to 160";0.2766
179;160;"Edge from 179 to 160";0.20928
133;161;"Edge from 133 to 161";0.1895
174;161;"Edge from 174 to 161";0.29394
120;162;"Edge from 120 to 162";0.015089
141;162;"Edge from 141 to 162";0.06302
154;162;"Edge from 154 to 162";0.030335
169;162;"Edge from 169 to 162";0.020444
127;163;"Edge from 127 to 163";0.07012
153;163;"Edge from 153 to 163";0.048374
173;163;"Edge from 173 to 163";0.015145
177;163;"Edge from 177 to 163";0.14678
122;164;"Edge from 122 to 164";0.19228
127;164;"Edge from 127 to 164";0.049911
158;164;"Edge from 158 to 164";0.011272
171;164;"Edge from 171 to 164";0.095191
173;164;"Edge from 173 to 164";0.017528
174;164;"Edge from 174 to 164";0.011189
179;164;"Edge from 179 to 164";0.011245
121;165;"Edge from 121 to 165";0.026279
124;165;"Edge from 124 to 165";0.072943
136;165;"Edge from 136 to 165";0.063344
144;165;"Edge from 144 to 165";0.047659
153;165;"Edge from 153 to 165";0.014444
158;165;"Edge from 158 to 165";0.033822
171;165;"Edge from 171 to 165";0.081016
123;166;"Edge from 123 to 166";0.029703
180;166;"Edge from 180 to 166";0.059211
183;166;"Edge from 183 to 166";0.025316
143;167;"Edge from 143 to 167";0.21569
182;167;"Edge from 182 to 167";0.061538
150;168;"Edge from 150 to 168";0.080485
169;168;"Edge from 169 to 168";0.030601
172;168;"Edge from 172 to 168";0.0237
173;168;"Edge from 173 to 168";0.031104
184;168;"Edge from 184 to 168";0.10905
186;168;"Edge from 186 to 168";0.051401
187;168;"Edge from 187 to 168";0.064055
188;168;"Edge from 188 to 168";0.033779
151;169;"Edge from 151 to 169";0.019159
154;169;"Edge from 154 to 169";0.080514
156;169;"Edge from 156 to 169";0.06451
162;169;"Edge from 162 to 169";0.020444
168;169;"Edge from 168 to 169";0.030601
170;169;"Edge from 170 to 169";0.016875
186;169;"Edge from 186 to 169";0.014056
187;169;"Edge from 187 to 169";0.088791
148;170;"Edge from 148 to 170";0.035842
150;170;"Edge from 150 to 170";0.010104
152;170;"Edge from 152 to 170";0.057634
155;170;"Edge from 155 to 170";0.018545
157;170;"Edge from 157 to 170";0.035062
159;170;"Edge from 159 to 170";0.026238
169;170;"Edge from 169 to 170";0.016875
172;170;"Edge from 172 to 170";0.037805
186;170;"Edge from 186 to 170";0.14259
187;170;"Edge from 187 to 170";0.042911
158;171;"Edge from 158 to 171";0.10877
164;171;"Edge from 164 to 171";0.095191
165;171;"Edge from 165 to 171";0.081016
173;171;"Edge from 173 to 171";0.055696
185;171;"Edge from 185 to 171";0.10232
190;171;"Edge from 190 to 171";0.028444
149;172;"Edge from 149 to 172";0.05
150;172;"Edge from 150 to 172";0.079996
152;172;"Edge from 152 to 172";0.036296
168;172;"Edge from 168 to 172";0.0237
170;172;"Edge from 170 to 172";0.037805
186;172;"Edge from 186 to 172";0.048676
188;172;"Edge from 188 to 172";0.039293
153;173;"Edge from 153 to 173";0.079589
163;173;"Edge from 163 to 173";0.015145
